Brand,Resolution,Size ,Selling Price,Original Price,Operating System,Rating
Mi ,Full HD LED,43,24999,25999,Android,4.4
Acer,Full HD LED,42,21999,29990,Android,3.9
Acer,Ultra HD LED,50,34999,44990,Android,3.6
KODAK ,Ultra HD LED,43,25999,37999,Android,4.4
Nokia ,Ultra HD LED,50,35999,54999,Android,4.3
Coocaa ,Full HD LED,42,18999,48990,Android,4.2
Blaupunkt,Ultra HD LED,50,34499,47999,Android,4.7
SAMSUNG,Ultra HD LED,55,55990,76900,Tizen,4.3
iFFALCON by TCL,QLED Ultra HD,55,44999,126990,Android,4.3
Thomson,Ultra HD LED,65,53999,70499,Android,4.4
SAMSUNG,Full HD LED,32,20880,24275,Tizen,4.2
iFFALCON by TCL,Full HD LED,40,19999,36990,Android,4.3
Blaupunkt,Ultra HD LED,43,28999,41999,Android,4.7
Thomson,Ultra HD LED,43,22999,29999,Android,4.3
Adsun,HD LED,32,8699,16999,Android,3.8
LG ,Ultra HD LED,55,57999,89990,WebOS,4.5
SONY ,Ultra HD LED,43,44999,66900,Linux,4.5
SAMSUNG,QLED Ultra HD,50,84999,119900,Tizen,4.8
TCL ,Ultra HD LED,55,39999,75990,Android,4.4
Acer,Ultra HD LED,58,38999,59990,Android,4
Thomson,Ultra HD LED,43,27999,37999,Android,4.4
SAMSUNG,QLED Ultra HD,50,68999,112900,Tizen,4.5
Vu,Ultra HD LED,65,56999,75000,Android,4.4
TCL ,HD LED,32,16499,29990,Android,4.2
Hisense,Ultra HD LED,43,29990,36990,Android,4.3
KODAK ,Ultra HD LED,55,34499,39990,Android,4.3
SONY ,Full HD LED,43,44900,44900,Linux,4.6
Blaupunkt,Ultra HD LED,55,39999,55999,Android,4.7
Thomson,HD LED,32,11999,14990,Android,4.1
Hisense,Ultra HD LED,43,30999,36990,Android,4.4
SAMSUNG,Full HD LED,43,32999,53900,Tizen,4.4
SAMSUNG,Full HD LED,43,36580,39900,Tizen,4.3
KODAK ,HD LED,24,8499,10499,Android,4
Thomson,Ultra HD LED,55,34999,46999,Android,4.3
SONY ,Ultra HD LED,43,56720,72900,Linux,4.8
T-Series,HD LED,24,9990,12990,Android,
MOTOROLA,HD LED,32,17999,21799,Android,4.3
Panasonic,Ultra HD LED,50,37999,42990,Android,4.2
MOTOROLA,QLED Ultra HD,55,55999,63999,Android,4.3
TCL ,Full HD LED,65,63999,159990,Android,4.3
Coocaa ,Ultra HD LED,43,23999,54990,Android,4.3
LG ,Ultra HD LED,55,65999,109990,WebOS,4.5
Coocaa ,Ultra HD LED,50,31499,64990,Android,4.3
TCL ,Full HD LED,43,27190,47990,Android,4.3
Vu,Ultra HD LED,43,30999,36000,Android,4.3
TOSHIBA,Full HD LED,43,22499,26990,VIDAA,4.4
Hisense,Ultra HD LED,58,41999,50990,Android,4.4
MOTOROLA,Ultra HD LED,65,56999,115399,Android,4.3
LG ,HD LED,32,24057,29990,WebOS,4.3
SAMSUNG,QLED Ultra HD,50,73990,119900,Tizen,4.3
Nokia ,Full HD LED,43,26999,39999,Android,4.2
Micromax,HD LED,32,13299,19900,Android,4.4
KODAK ,Ultra HD LED,50,32999,42999,Android,4.4
Micromax,HD LED,39,18999,24990,Android,3.5
KODAK ,Ultra HD LED,50,30999,33999,Android,4.3
Nokia ,Ultra HD LED,55,44999,59999,Android,4.1
iFFALCON by TCL,Ultra HD LED,65,53999,106990,Android,4.3
PHILIPS,Ultra HD LED,58,41999,119990,Android,4.2
Sansui ,Ultra HD LED,50,36990,45190,Android,4.5
SAMSUNG,QLED Ultra HD,43,59990,94900,Tizen,4.7
LG ,HD LED,32,19890,27990,Linux,4.3
OnePlus,Ultra HD LED,55,52999,59999,Android,4.3
MOTOROLA,Ultra HD LED,43,35999,49999,Android,4.4
SONY ,Full HD LED,43,46799,52900,Android,4.7
TCL ,Full HD LED,50,34999,89990,Android,4.3
SAMSUNG,Ultra HD LED,43,41900,49990,Tizen,
Panasonic,Ultra HD LED,55,46999,109900,Linux,4.2
LG ,Ultra HD LED,43,41349,57990,WebOS,
SONY ,Ultra HD LED,43,67990,74900,Linux,4.7
SAMSUNG,HD LED,32,21600,22900,Tizen,4.5
SAMSUNG,QLED Ultra HD,65,121990,222900,Tizen,4.3
MOTOROLA,Ultra HD LED,65,66999,79999,Android,4.4
LG ,Ultra HD LED,65,83599,119990,WebOS,4.4
SAMSUNG,QLED Ultra HD,55,128999,169900,Tizen,4.6
SONY ,Ultra HD LED,49,75099,89900,Android,4.4
SONY ,Ultra HD LED,55,73999,99990,Linux,4.5
Croma ,HD LED,32,10990,20000,Android,4.8
SAMSUNG,Ultra HD LED,50,57989,73900,Tizen,4.7
LG ,Ultra HD LED,65,129999,229900,WebOS,5
SAMSUNG,QLED Ultra HD,55,84990,134900,Tizen,4.7
SAMSUNG,Ultra HD LED,43,45400,56900,Linux,4.3
Croma ,HD LED,24,7990,15000,Android,
LG ,Ultra HD LED,55,137490,299990,WebOS,
SAMSUNG,HD LED,32,29900,29900,Tizen,3.8
TCL ,HD LED,32,14339,22990,Android,4.3
LG ,Ultra HD LED,48,89999,169990,WebOS,2.7
TCL ,Ultra HD LED,65,146999,299990,Android,
LG ,Ultra HD LED,43,54990,54990,WebOS,4.4
LG ,Ultra HD LED,55,64999,93990,WebOS,4.3
LG ,HD LED,32,28401,30990,WebOS,4.4
Sansui ,Full HD LED,43,27490,33990,Android,4.1
LG ,Ultra HD LED,43,43599,59990,WebOS,
SAMSUNG,Ultra HD LED,55,59990,88900,Tizen,
LG ,Ultra HD LED,55,76197,129990,WebOS,4.8
realme ,Full HD LED,32,17999,23999,Android,4.2
Micromax,Full HD LED,43,22999,26990,Android,3.9
SAMSUNG,QLED Ultra HD,55,159500,244900,Tizen,4.4
Micromax,Full HD LED,43,23990,33000,Android,4.3
LG ,Ultra HD LED,43,47499,75343,WebOS,4.5
LG ,Ultra HD LED,43,46969,64990,WebOS,
TCL ,Full HD LED,75,144790,259990,Android,4.3
LG ,HD LED,32,22200,25999,WebOS,4.3
Candes ,HD LED,24,9999,17990,Android,4.1
SAMSUNG,Ultra HD LED,50,55790,69900,Tizen,
SAMSUNG,QLED Ultra HD,55,89390,134900,Tizen,
LG ,Ultra HD LED,43,46590,59990,WebOS,4.5
LG ,Full HD LED,55,103990,103990,WebOS,4.2
SAMSUNG,Ultra HD LED,65,85990,116900,Tizen,4.3
SAMSUNG,QLED Ultra HD,65,318700,399900,Tizen,
SAMSUNG,Ultra HD LED,43,44870,54900,Tizen,
SAMSUNG,Ultra HD LED,43,38999,48900,Tizen,4.3
Mi ,HD LED,32,14999,14999,Android,4.4
LG ,Ultra HD LED,55,57200,84990,WebOS,
LG ,Ultra HD LED,65,139999,254990,WebOS,
Dyanora,Full HD LED,42,18499,32999,Android,
SONY ,Ultra HD LED,65,169900,239900,Linux,
iFFALCON by TCL,QLED Ultra HD,65,84999,229990,Android,4.3
SONY ,Ultra HD LED,55,102290,139900,Android,
Dyanora,HD LED,32,10999,15999,Android,4.3
LG ,Ultra HD LED,65,199999,349990,WebOS,4.4
LG ,Ultra HD LED,55,99999,166990,WebOS,
LG ,Ultra HD LED,55,155879,226990,WebOS,
LG ,Ultra HD LED,65,279990,399990,WebOS,
SAMSUNG,Ultra HD LED,55,64299,86900,Tizen,4.6
SONY ,Ultra HD LED,75,199491,299900,Linux,4.7
SAMSUNG,QLED Ultra HD,65,224999,279900,Tizen,5
SAMSUNG,Ultra HD LED,55,104900,104900,Tizen,4.4
LG ,Ultra HD LED,43,43599,59990,WebOS,
Hisense,HD LED,32,18490,24990,Android,
LG ,Full HD LED,43,36499,41990,WebOS,4.4
SAMSUNG,QLED Ultra HD,55,144990,199990,Tizen,
LG ,Ultra HD LED,55,128100,209990,WebOS,
TCL ,Ultra HD LED,55,55499,89900,Android,4.3
Micromax,Ultra HD LED,49,42490,59990,Android,4.2
LG ,Ultra HD LED,55,63990,91990,WebOS,4.7
SAMSUNG,QLED Ultra HD,55,163738,211900,Tizen,
Blaupunkt,Ultra HD LED,65,55999,75999,Android,
iFFALCON by TCL,Ultra HD LED,55,36999,59990,Android,4.3
SONY ,Ultra HD LED,65,113999,179900,Android,4.4
Haier ,Full HD LED,42,28240,43990,Android,5
SAMSUNG,Ultra HD LED,65,295900,295900,Tizen,
SONY ,Ultra HD LED,65,469999,529900,Android,5
Panasonic,Ultra HD LED,55,62738,82990,Linux,
SONY ,Ultra HD LED,75,259999,499900,Android,3.7
LG ,Ultra HD LED,65,249999,409990,WebOS,4.8
TOSHIBA,Ultra HD LED,50,33999,46990,VIDAA,4.3
LG ,Full HD LED,49,77990,77990,WebOS,4.8
TOSHIBA,HD LED,32,17499,18990,VIDAA,4.3
iFFALCON by TCL,Ultra HD LED,75,149999,239999,Android,4.2
Panasonic,Full HD LED,32,22990,24990,Android,4.2
LG ,Ultra HD LED,65,93999,129990,WebOS,4.5
SAMSUNG,Ultra HD LED,50,53200,64990,Tizen,
T-Series,HD LED,32,12499,14990,Linux,3.7
SAMSUNG,QLED Ultra HD,65,148990,259900,Tizen,
SAMSUNG,Ultra HD LED,43,49990,62900,Tizen,
Onida,Full HD LED,40,17999,29990,Android,4.1
LG ,Ultra HD LED,65,262999,364990,WebOS,
LG ,Ultra HD LED,55,149999,229990,WebOS,4.3
LG ,Ultra HD LED,65,224999,379990,WebOS,5
Haier ,Ultra HD LED,43,34999,43990,Android,4.1
SONY ,HD LED,32,26374,29800,Android,4.4
SONY ,Full HD LED,50,60291,64900,Linux,4.5
Sansui ,Ultra HD LED,55,119990,119990,Android,4.3
TCL ,Ultra HD LED,55,47499,79990,Android,3.9
Vu,Ultra HD LED,55,41999,58000,Android,4.4
RGL ,HD LED,24,9990,12990,HomeOS,4
SAMSUNG,Ultra HD LED,65,294900,294900,Tizen,4.7
LG ,Ultra HD LED,70,94990,169990,WebOS,
Mi ,HD LED,32,15999,15999,Android,4.4
KODAK ,HD LED,32,11499,20990,Android,4.3
SAMSUNG,Full HD LED,43,38990,56945,Tizen,
SONY ,Ultra HD LED,65,259999,449900,Android,4.3
SAMSUNG,Ultra HD LED,65,159500,234900,Tizen,4.6
LG ,Ultra HD LED,65,164999,264990,WebOS,4.7
SONY ,Ultra HD LED,65,149999,244900,Android,4.7
SAMSUNG,QLED Ultra HD,49,74990,129900,Tizen,4.7
PHILIPS,Full HD LED,43,28999,35990,Linux,4.1
Onida,Ultra HD LED,58,53199,79990,Android,4.2
SAMSUNG,Ultra HD LED,75,169990,254900,Tizen,
SAMSUNG,QLED Ultra HD,55,84999,133900,Tizen,4.6
LG ,Ultra HD LED,55,124999,177990,WebOS,4.4
LG ,Ultra HD LED,75,385099,549990,WebOS,
Candes ,HD LED,32,11299,22690,Android,3.9
SAMSUNG,Ultra HD LED,49,179900,179900,Tizen,4.3
SAMSUNG,Full HD LED,43,62900,62900,Tizen,3.9
SONY ,Ultra HD LED,55,80799,94900,Linux,4.6
SONY ,Ultra HD LED,49,64599,76900,Android,4.6
Dyanora,HD LED,32,12499,18999,Android,
MOTOROLA,Ultra HD LED,43,30999,46050,Android,4.3
SAMSUNG,QLED Ultra HD,65,470900,470900,Tizen,
SONY ,Ultra HD LED,55,129990,155990,Linux,
SAMSUNG,Ultra HD LED,55,61890,79400,Tizen,
SAMSUNG,QLED Ultra HD,65,199990,284990,Tizen,
SAMSUNG,Ultra HD LED,55,204900,204900,Tizen,3
TCL ,Full HD LED,40,26990,39990,Android,4.2
LG ,Ultra HD LED,55,64990,102990,WebOS,4.3
SAMSUNG,QLED Ultra HD,55,314900,314900,Tizen,
Sansui ,Ultra HD LED,55,69200,69200,Android,3.7
Lloyd ,Ultra HD LED,65,74999,153990,Linux,4.8
SONY ,Ultra HD LED,55,109999,164900,Android,3.6
Thomson,HD LED,32,16999,16999,Android,4.1
LG ,Ultra HD LED,55,61999,94990,WebOS,
PHILIPS,HD LED,32,18999,20990,Android,4.1
SAMSUNG,Ultra HD LED,49,64499,99900,Tizen,4.5
LG ,Ultra HD LED,55,81999,149990,WebOS,4.8
Panasonic,HD LED,32,28399,28400,Android,4.2
LG ,Ultra HD LED,65,199999,349990,WebOS,
SAMSUNG,Ultra HD LED,65,89990,124990,Tizen,
LumX ,Full HD LED,43,21990,46900,Android,
SAMSUNG,QLED Ultra HD,43,59700,82400,Tizen,
LG ,Ultra HD LED,65,269999,339990,WebOS,
SAMSUNG,Ultra HD LED,75,239999,394900,Tizen,
SAMSUNG,Ultra HD LED,55,241900,241900,Tizen,3.9
SAMSUNG,Ultra HD LED,65,122299,209900,Tizen,4.7
SONY ,Ultra HD LED,55,164999,329900,Android,4.7
LG ,Full HD LED,49,74990,74990,WebOS,4.5
SONY ,Ultra HD LED,65,179999,224900,Android,4.9
SAMSUNG,QLED Ultra HD,65,258999,419900,Tizen,
SONY ,Ultra HD LED,65,112100,179990,Android,4.7
SONY ,HD LED,32,26990,29900,Linux,4.4
Sansui ,HD LED,32,21499,22990,Android,
LG ,Full HD LED,43,38899,45900,WebOS,3.7
SAMSUNG,Ultra HD LED,55,62980,80000,Tizen,
LG ,Ultra HD LED,65,89978,149990,WebOS,
Panasonic,Ultra HD LED,55,50499,65490,Linux,
TCL ,Ultra HD LED,65,86091,109990,Android,4.3
SAMSUNG,Full HD LED,55,118900,118900,Tizen,4
SONY ,Ultra HD LED,50,81990,99900,Android,4.7
SAMSUNG,Ultra HD LED,49,129900,129900,Tizen,4.4
LG ,Full HD LED,49,64900,64900,WebOS,4.2
Croma ,Ultra HD LED,55,50990,75000,FireTV OS,
SAMSUNG,HD LED,32,18490,22500,Tizen,4
LG ,Ultra HD LED,55,114999,189990,WebOS,2.7
Candes ,Full HD LED,40,15999,29990,Android,4.1
SAMSUNG,Ultra HD LED,65,89990,115990,Tizen,
PHILIPS,Ultra HD LED,50,37999,105990,Android,4.2
iFFALCON by TCL,Ultra HD LED,55,43999,73990,Android,4.4
SAMSUNG,Ultra HD LED,50,125900,125900,Tizen,4.3
Micromax,HD LED,32,15990,22990,Android,4.2
LG ,Ultra HD LED,49,80990,80990,WebOS,4.5
LG ,Ultra HD LED,65,149999,219990,WebOS,5
LG ,Full HD LED,49,67990,67990,WebOS,4.5
SAMSUNG,Ultra HD LED,50,51990,67069,Tizen,4
SAMSUNG,QLED Ultra HD,55,274900,274900,Tizen,5
LG ,Ultra HD LED,55,324990,324990,WebOS,4.6
Onix ,Ultra HD LED,50,49990,59990,Android,
SAMSUNG,QLED Ultra HD,50,69990,99990,Tizen,4
SAMSUNG,Full HD LED,43,45785,45900,Tizen,
SAMSUNG,QLED Ultra HD,55,121999,143900,Tizen,4.3
Croma ,HD LED,32,14990,25000,FireTV OS,
Acer,HD LED,32,14999,22990,Android,3.9
SAMSUNG,Full HD LED,48,49990,77900,Tizen,3.7
SAMSUNG,Ultra HD LED,75,159990,266900,Tizen,
iFFALCON by TCL,QLED Ultra HD,65,156990,156990,Android,
SAMSUNG,Ultra HD LED,43,44990,78000,Tizen,
SAMSUNG,QLED Ultra HD,65,162900,209900,Tizen,
SAMSUNG,Ultra HD LED,55,145900,145900,Tizen,4.8
LG ,Ultra HD LED,65,109999,209990,WebOS,5
Dyanora,Ultra HD LED,50,27599,40999,Android,
IMPEX ,HD LED,32,28690,28690,HomeOS,
SAMSUNG,Ultra HD LED,43,89850,89850,Tizen,4.1
LG ,Ultra HD LED,65,349999,499990,WebOS,
SAMSUNG,QLED Ultra HD,55,139990,209900,Tizen,
SONY ,Ultra HD LED,65,142499,199900,Android,
SAMSUNG,Ultra HD LED,65,167199,269900,Tizen,
IMPEX ,HD LED,39,29079,39990,HomeOS,4.2
LG ,Ultra HD LED,49,120989,120990,WebOS,4.4
Croma ,Full HD LED,43,31990,40000,Android,
SONY ,Ultra HD LED,43,63990,72900,Linux,4.4
SAMSUNG,QLED Ultra HD,55,105990,162900,Tizen,
IMPEX ,HD LED,40,28399,45990,HomeOS,
Vu,QLED Ultra HD,85,259999,350000,Android,4.4
SAMSUNG,Ultra HD LED,55,154900,154900,Tizen,5
Candes ,Full HD LED,40,15999,29990,Android,4.1
SONY ,Ultra HD LED,50,72715,92900,Android,
SAMSUNG,Full HD LED,49,65999,82500,Tizen,4.3
SAMSUNG,QLED Ultra HD,65,144900,229990,Tizen,
LG ,Ultra HD LED,65,229000,359990,WebOS,
TCL ,HD LED,32,15000,29990,Android,4.2
Sansui ,Ultra HD LED,43,29490,32290,Android,4.1
SAMSUNG,QLED Ultra HD,65,122290,222900,Tizen,4.5
SAMSUNG,Ultra HD LED,55,284900,284900,Tizen,3.6
SAMSUNG,Ultra HD LED,65,103990,135900,Tizen,
LG ,Ultra HD LED,55,97990,139989,WebOS,
SAMSUNG,HD LED,24,15200,15200,Tizen,4.2
Vu,Ultra HD LED,55,46899,75000,Android,4.4
Candes ,HD LED,24,9999,17990,Android,4.1
Hisense,HD LED,32,17499,17990,Android,4.2
Onida,HD LED,39,23990,31990,Android,3.9
SAMSUNG,Full HD LED,49,45700,66900,Tizen,4.2
Candes ,Full HD LED,40,15999,29990,Android,4.1
SAMSUNG,Ultra HD LED,49,146900,146900,Tizen,4.5
LG ,Full HD LED,49,40000,65900,Linux,4.2
BPL ,Ultra HD LED,55,50490,73000,Android,
Dyanora,HD LED,24,7999,10999,Android,4.3
SAMSUNG,HD LED,32,19599,25900,Tizen,4.3
SAMSUNG,QLED Ultra HD,65,219990,257900,Tizen,
SAMSUNG,QLED Ultra HD,55,89990,163900,Tizen,4.7
Croma ,Ultra HD LED,43,35990,50000,FireTV OS,5
CloudWalker,Ultra HD LED,65,59999,94990,Android,4
TCL ,QLED Ultra HD,55,47990,99990,Android,
MarQ by Flipkart,Ultra HD LED,65,64999,94499,Android,4.4
LG ,Ultra HD LED,75,189999,284990,WebOS,3
Panasonic,Ultra HD LED,65,86890,93500,Linux,
SAMSUNG,QLED Ultra HD,50,69744,99900,Tizen,
Nokia ,Ultra HD LED,65,57999,79999,Android,4.3
Thomson,HD LED,32,13499,15499,Android,4.4
SAMSUNG,Full HD LED,43,36990,38900,Tizen,4.1
Thomson,Full HD LED,43,20499,25999,Android,4.4
Blaupunkt,HD LED,32,12999,19499,Android,4.4
Lloyd ,HD LED,32,20990,25900,Linux,4.8
Oxygen ,Ultra HD LED,50,35990,52990,Android,
Panasonic,Ultra HD LED,65,90314,119990,Linux,
Croma ,HD LED,32,20990,30000,Android,3.7
Croma ,Full HD LED,43,30990,40000,FireTV OS,
Micromax,HD LED,32,23989,23990,Android,4.2
SAMSUNG,HD LED,32,23000,25900,Tizen,4.4
Power Guard,HD LED,32,15499,24990,Android,
Akai ,Ultra HD LED,65,72940,124990,Android,
VG ,Ultra HD LED,43,24990,51000,Android,
Croma ,HD LED,32,19490,25000,FireTV OS,
Infinix,Full HD LED,40,18999,26990,Android,4.2
Adsun,HD LED,24,6799,10999,Android,3.8
TCL ,Ultra HD LED,65,68990,127445,Android,4.5
KODAK ,Full HD LED,43,22499,24999,Android,4.4
MOTOROLA,Full HD LED,43,27999,35500,Android,4.3
Onix ,Full HD LED,43,29990,38790,Android,4.9
Sun King,HD LED,32,24999,49998,,
LG ,Ultra HD LED,48,105990,110690,WebOS,
LG ,Ultra HD LED,65,174999,209990,WebOS,
TCL ,HD LED,32,15499,22990,Android,4.2
Onix ,Full HD LED,43,39000,46990,Android,
TCL ,Ultra HD LED,55,104999,239990,Android,
SAMSUNG,Ultra HD LED,55,149900,149900,Tizen,
Haier ,Full HD LED,43,30490,38990,Android,4.3
VG ,HD LED,39,18990,26000,Android,
SAMSUNG,Ultra HD LED,49,129900,129900,Tizen,3.4
LG ,Full HD LED,49,77900,77900,WebOS,4.1
SAMSUNG,Ultra HD LED,49,136500,136500,Tizen,4.4
KODAK ,HD LED,32,11499,15999,Android,4.1
Onix ,HD LED,32,15990,16990,Android,
LG ,Ultra HD LED,48,103990,199990,WebOS,
SAMSUNG,QLED Ultra HD,49,84990,110900,Tizen,
Sansui ,Ultra HD LED,43,34999,34999,Android,4.3
Panasonic,HD LED,32,21078,25490,Android,
Sansui ,HD LED,32,16990,20990,Linux,4.1
SAMSUNG,Full HD LED,43,48900,48900,Tizen,4.2
Candes ,Full HD LED,40,15999,29990,Android,4.1
SAMSUNG,Ultra HD LED,65,94990,145900,Tizen,2.8
Compaq ,QLED Ultra HD,65,99999,229990,Android,4.4
Panasonic,Ultra HD LED,65,103353,129990,Linux,
HUIDI ,HD LED,32,10999,18599,Android,4
IMPEX ,HD LED,32,29790,29790,HomeOS,
HUIDI ,HD LED,24,7499,10999,Android,4
LG ,HD LED,32,18450,19990,Linux,4.2
Adsun,HD LED,32,9799,21999,Android,3.8
Micromax,HD LED,32,13999,24990,Android,3.7
Croma ,HD LED,32,15990,20000,Android,
Sansui ,HD LED,32,15290,20990,Linux,
TCL ,QLED Ultra HD,65,89999,189990,Android,4.4
HUIDI ,HD LED,40,16999,27999,Android,4
Coocaa ,HD LED,32,12499,25990,Android,4.2
TCL ,QLED Ultra HD,55,59999,189990,Android,3.9
Sansui ,Full HD LED,40,24990,29290,Linux,3.7
Intex ,HD LED,39,19800,33330,Android,4.2
SAMSUNG,QLED Ultra HD,49,64990,101900,Tizen,4.8
SAMSUNG,QLED Ultra HD,55,105990,189990,Tizen,
LumX ,HD LED,32,11990,26900,Android,3.7
Candes ,Full HD LED,43,20999,38490,Android,4.1
Haier ,Ultra HD LED,65,69590,106990,Android,
Haier ,Ultra HD LED,65,99999,149990,Android,
Lloyd ,Full HD LED,39,22990,32990,Linux,4.1
SAMSUNG,HD LED,32,17999,23890,Tizen,4.2
DETEL ,Ultra HD LED,55,35199,89000,Android,4
BPL ,Ultra HD LED,50,42490,60000,Android,
LG ,Ultra HD LED,49,59999,110990,WebOS,4.3
LG ,Ultra HD LED,65,99990,169990,WebOS,4.5
Haier ,HD LED,32,18590,31090,Android,
JVC,Ultra HD LED,55,37999,59999,Android,4.1
Panasonic,Ultra HD LED,43,35999,84900,Linux,4.4
Haier ,HD LED,32,18290,22990,Android,4
T-Series,HD LED,40,19999,28990,Android,
T-Series,HD LED,32,15990,16990,Linux,
Lloyd ,HD LED,32,18689,26957,Linux,
Lloyd ,Full HD LED,43,34990,48990,Linux,
BPL ,HD LED,32,16499,27000,Android,3.7
LG ,Ultra HD LED,49,58999,90990,WebOS,4.3
BPL ,HD LED,43,28990,35999,Android,
SAMSUNG,HD LED,32,26900,26900,Tizen,4
SONY ,Ultra HD LED,65,191492,364900,Android,3.8
Lloyd ,Ultra HD LED,50,44999,84990,Linux,4.3
LG ,Ultra HD LED,65,189999,299990,WebOS,2.7
Candes ,HD LED,24,8699,15990,Android,3.9
SAMSUNG,Ultra HD LED,50,52890,70900,Tizen,4
